ID,Value,C
West Grove Borough,0,0
New London Township,0,0
Honey Brook Borough,0,0
East Fallowfield Township,1,0
Caln Township,2,0
Valley Township,0,0
Elk Township,0,0
Oxford Borough,1,0
Willistown Township,3,0
Avondale Borough,0,0
West Fallowfield Township,0,0
Atglen Borough,0,0
Franklin Township,0,0
Phoenixville Borough,0,0
Parkesburg Borough,0,0
South Coventry Township,0,0
West Nottingham Township,0,0
West Marlborough Township,0,0
Spring City Borough,1,0
London Britain Township,1,0
East Nantmeal Township,0,0
West Caln Township,1,0
East Caln Township,0,0
Schuylkill Township,0,0
City of Coatesville,0,0
Thornbury Township,0,0
East Goshen Township,5,0
West Pikeland Township,3,0
Kennett Township,0,0
East Marlborough Township,2,0
West Chester Borough,7,0
East Brandywine Township,1,0
Downingtown Borough,1,0
West Brandywine Township,0,0
East Bradford Township,2,0
Wallace Township,0,0
East Whiteland Township,8,0
East Coventry Township,1,0
Birmingham Township,2,0
New Garden Township,1,0
North Coventry Township,1,0
Newlin Township,0,0
West Goshen Township,3,0
Penn Township,0,0
West Whiteland Township,4,0
Pennsbury Township,2,0
East Pikeland Township,3,0
East Vincent Township,3,0
Upper Oxford Township,1,0
West Vincent Township,1,0
Honey Brook Township,2,0
Upper Uwchlan Township,3,0
West Bradford Township,1,0
Uwchlan Township,8,0
Londonderry Township,0,0
South Coatesville Borough,0,0
Lower Oxford Township,0,0
Easttown Township,9,0
Westtown Township,0,0
London Grove Township,0,0
Kennett Square Borough,1,0
East Nottingham Township,1,0
Malvern Borough,1,0
Charlestown Township,2,0
Tredyffrin Township,1,0
Modena Borough,0,0
West Nantmeal Township,0,0
Warwick Township,0,0
Elverson Borough,0,0
Pocopson Township,0,0
Highland Township,0,0
Sadsbury Township,0,0
West Sadsbury Township,0,0
