ID,Value,C
Yeadon Borough,2,0
Aldan Borough,1,0
Tinicum Township,0,0
Rose Valley Borough,2,0
Lower Chichester Township,0,0
Lansdowne Borough,1,0
Ridley Township,6,0
Prospect Park Borough,1,0
Haverford Township,21,0
Chadds Ford Township,1,0
Ridley Park Borough,4,1
Swarthmore Borough,4,0
Upland Borough,0,0
Edgmont Township,0,0
Marcus Hook Borough,0,0
Parkside Borough,0,0
Millbourne Borough,1,0
Upper Chichester Township,5,0
Collingdale Borough,1,0
Colwyn Borough,0,0
Glenolden Borough,0,0
Chester Heights Borough,0,0
Upper Providence Township,4,0
Marple Township,11,1
Norwood Borough,1,0
Clifton Heights Borough,3,0
Aston Township,5,0
Chester Township,1,0
Springfield Township,7,0
Rutledge Borough,0,0
Darby Township,0,0
Concord Township,4,0
Thornbury Township,5,0
Morton Borough,3,0
Middletown Township,10,1
Darby Borough,1,0
Eddystone Borough,1,0
Brookhaven Borough,1,0
Radnor Township,21,0
Trainer Borough,1,0
Newtown Township,11,0
East Lansdowne Borough,2,0
Folcroft Borough,0,0
Upper Darby Township,27,0
Sharon Hill Borough,12,0
Bethel Township,2,0
Media Borough,2,0
Chester City,3,0
Nether Providence Township,9,0
